Code,Description,Entity
667B.00,Nocturnal epilepsy,diagnostic
F132100,Progressive myoclonic epilepsy,diagnostic
F25..00,Epilepsy,diagnostic
F250.00,Generalised nonconvulsive epilepsy,diagnostic
F250000,Petit mal (minor) epilepsy,diagnostic
F250011,Epileptic absences,diagnostic
F250100,Pykno-epilepsy,diagnostic
F250200,Epileptic seizures - atonic,diagnostic
F250300,Epileptic seizures - akinetic,diagnostic
F250500,Lennox-Gastaut syndrome,diagnostic
F250y00,Other specified generalised nonconvulsive epilepsy,diagnostic
F250z00,Generalised nonconvulsive epilepsy NOS,diagnostic
F251.00,Generalised convulsive epilepsy,diagnostic
F251000,Grand mal (major) epilepsy,diagnostic
F251111,Otohara syndrome,diagnostic
F251200,Epileptic seizures - clonic,diagnostic
F251300,Epileptic seizures - myoclonic,diagnostic
F251400,Epileptic seizures - tonic,diagnostic
F251500,Tonic-clonic epilepsy,diagnostic
F251y00,Other specified generalised convulsive epilepsy,diagnostic
F251z00,Generalised convulsive epilepsy NOS,diagnostic
F252.00,Petit mal status,diagnostic
F253.00,Grand mal status,diagnostic
F253.11,Status epilepticus,diagnostic
F254.00,Partial epilepsy with impairment of consciousness,diagnostic
F254000,Temporal lobe epilepsy,diagnostic
F254100,Psychomotor epilepsy,diagnostic
F254200,Psychosensory epilepsy,diagnostic
F254300,Limbic system epilepsy,diagnostic
F254400,Epileptic automatism,diagnostic
F254500,Complex partial epileptic seizure,diagnostic
F254z00,Partial epilepsy with impairment of consciousness NOS,diagnostic
F255.00,Partial epilepsy without impairment of consciousness,diagnostic
F255000,Jacksonian; focal or motor epilepsy,diagnostic
F255011,Focal epilepsy,diagnostic
F255012,Motor epilepsy,diagnostic
F255100,Sensory induced epilepsy,diagnostic
F255200,Somatosensory epilepsy,diagnostic
F255300,Visceral reflex epilepsy,diagnostic
F255311,Partial epilepsy with autonomic symptoms,diagnostic
F255400,Visual reflex epilepsy,diagnostic
F255500,Unilateral epilepsy,diagnostic
F255600,Simple partial epileptic seizure,diagnostic
F255y00,Partial epilepsy without impairment of consciousness OS,diagnostic
F255z00,Partial epilepsy without impairment of consciousness NOS,diagnostic
F257.00,Kojevnikov's epilepsy,diagnostic
F25D.00,Menstrual epilepsy,diagnostic
F25E.00,Stress-induced epilepsy,diagnostic
F25F.00,Photosensitive epilepsy,diagnostic
F25X.00,Status epilepticus; unspecified,diagnostic
F25y.00,Other forms of epilepsy,diagnostic
F25y000,Cursive (running) epilepsy,diagnostic
F25y100,Gelastic epilepsy,diagnostic
F25y200,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset,diagnostic
F25y300,Complex partial status epilepticus,diagnostic
F25y400,Benign Rolandic epilepsy,diagnostic
F25yz00,Other forms of epilepsy NOS,diagnostic
F25z.00,Epilepsy NOS,diagnostic
SC20000,Traumatic epilepsy,diagnostic
1B1W.00        ,Transient epileptic amnesia ,diagnostic
1O30.00        ,Epilepsy confirmed ,diagnostic
2824.11,O/E - Jacksonian fit ,diagnostic
667B.00        ,Nocturnal epilepsy ,diagnostic
667N.00        ,Epilepsy severity  ,diagnostic
Eu05212,[X]Schizophrenia-like psychosis in epilepsy,diagnostic
Eu05y11,[X]Epileptic psychosis NOS,diagnostic
Eu06013        ,[X]Limbic epilepsy personality,diagnostic
Eu80300       ,[X]Acquired aphasia with epilepsy [Landau - Kleffner] ,diagnostic
F132100       ,Progressive myoclonic epilepsy ,diagnostic
F132200,Myoclonic encephalopathy,diagnostic
F250.00        ,Generalised nonconvulsive epilepsy ,diagnostic
F250000   ,Petit mal (minor) epilepsy ,diagnostic
F250011        ,Epileptic absences ,diagnostic
F250200        ,Epileptic seizures - atonic ,diagnostic
F250300       ,Epileptic seizures - akinetic ,diagnostic
F250400        ,Juvenile absence epilepsy ,diagnostic
F250y00       ,Other specified generalised nonconvulsive epilepsy ,diagnostic
F250z00       ,Generalised nonconvulsive epilepsy NOS ,diagnostic
F251.00       ,Generalised convulsive epilepsy ,diagnostic
F251000  ,Grand mal (major) epilepsy ,diagnostic
F251100       ,Neonatal myoclonic epilepsy ,diagnostic
F251200      ,Epileptic seizures - clonic ,diagnostic
F251300        ,Epileptic seizures - myoclonic ,diagnostic
F251400       ,Epileptic seizures - tonic ,diagnostic
F251500 ,Tonic-clonic epilepsy ,diagnostic
F251600,Grand mal seizure,diagnostic
F251y00       ,Other specified generalised convulsive epilepsy ,diagnostic
F251z00  ,Generalised convulsive epilepsy NOS ,diagnostic
F253.11       ,Status epilepticus ,diagnostic
F254.00     ,Partial epilepsy with impairment of consciousness ,diagnostic
F254000        ,Temporal lobe epilepsy ,diagnostic
F254100   ,Psychomotor epilepsy ,diagnostic
F254200    ,Psychosensory epilepsy ,diagnostic
F254300       , Limbic system epilepsy ,diagnostic
F254z00       ,Partial epilepsy with impairment of consciousness NOS ,diagnostic
F255.00    ,Partial epilepsy without impairment of consciousness ,diagnostic
F255011    ,Focal epilepsy ,diagnostic
F255012        ,Motor epilepsy ,diagnostic
F255100 ,Sensory induced epilepsy ,diagnostic
F255200       ,Somatosensory epilepsy ,diagnostic
F255311     ,Partial epilepsy with autonomic symptoms ,diagnostic
F255400       ,Visual reflex epilepsy ,diagnostic
F255500        ,Unilateral epilepsy ,diagnostic
F255600        ,Simple partial epileptic seizure ,diagnostic
F255z00       ,Partial epilepsy without impairment of consciousness NOS ,diagnostic
F256.00,Infantile Spasms,diagnostic
F256000,Hypsarrhthymia,diagnostic
F256100,Salaam attacks,diagnostic
F256.11,Lightning spasms,diagnostic
F256.12,West Syndrome,diagnostic
F256z00,Infantile Spasms NOS,diagnostic
F257.00   ,Kojevnikov's epilepsy ,diagnostic
F259.00,Early infant epileptic encephalopathy with suppression bursts,diagnostic
F259.11,Ohtahara syndrome,diagnostic
 F25A.00       ,Juvenile myoclonic epilepsy ,diagnostic
 F25B.00  ,Alcohol-induced epilepsy  ,diagnostic
 F25C.00       ,Drug-induced epilepsy ,diagnostic
 F25D.00       ,Menstrual epilepsy ,diagnostic
 F25E.00       ,Stress-induced epilepsy ,diagnostic
F25F.00       ,Photosensitive epilepsy ,diagnostic
F25G.00,Severe myoclonic epilepsy in infancy,diagnostic
 F25y.00       ,Other forms of epilepsy ,diagnostic
F25y000        ,Cursive (running) epilepsy ,diagnostic
F25y100        ,Gelastic epilepsy ,diagnostic
F25y200  , Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset,diagnostic
F25y400        ,Benign Rolandic epilepsy ,diagnostic
F25y500,Panayiotopoulos syndrome,diagnostic
F25yz00        ,Other forms of epilepsy NOS ,diagnostic
F25.z.11,Fit (in known epileptic) NOS,diagnostic
Fyu5000        ,[X]Other generalized epilepsy and epileptic syndromes ,diagnostic
Fyu5100        ,[X]Other epilepsy ,diagnostic
Fyu5200      ,[X]Other status epilepticus,diagnostic
Fyu5900       ,[X]Status epilepticus; unspecified,diagnostic
SC20000        ,Traumatic epilepsy ,diagnostic
ZS82.00        , Acquired epileptic aphasia,diagnostic
ZS82.11   ,Landau-Kleffner syndrome ,diagnostic
